"Nutr_No","Units","Tagname","NutrDesc","Num_Dec","SR_Order"
"203","g","PROCNT","Protein","2","600.0"
"204","g","FAT","Total lipid (fat)","2","800.0"
"205","g","CHOCDF","Carbohydrate, by difference","2","1100.0"
"207","g","ASH","Ash","2","1000.0"
"208","kcal","ENERC_KCAL","Energy","0","300.0"
"209","g","STARCH","Starch","2","2200.0"
"210","g","SUCS","Sucrose","2","1600.0"
"211","g","GLUS","Glucose (dextrose)","2","1700.0"
"212","g","FRUS","Fructose","2","1800.0"
"213","g","LACS","Lactose","2","1900.0"
"214","g","MALS","Maltose","2","2000.0"
"221","g","ALC","Alcohol, ethyl","1","18200.0"
"255","g","WATER","Water","2","100.0"
"257","g",,"Adjusted Protein","2","700.0"
"262","mg","CAFFN","Caffeine","0","18300.0"
"263","mg","THEBRN","Theobromine","0","18400.0"
"268","kJ","ENERC_KJ","Energy","0","400.0"
"269","g","SUGAR","Sugars, total","2","1500.0"
"287","g","GALS","Galactose","2","2100.0"
"291","g","FIBTG","Fiber, total dietary","1","1200.0"
"301","mg","CA","Calcium, Ca","0","5300.0"
"303","mg","FE","Iron, Fe","2","5400.0"
"304","mg","MG","Magnesium, Mg","0","5500.0"
"305","mg","P","Phosphorus, P","0","5600.0"
"306","mg","K","Potassium, K","0","5700.0"
"307","mg","NA","Sodium, Na","0","5800.0"
"309","mg","ZN","Zinc, Zn","2","5900.0"
"312","mg","CU","Copper, Cu","3","6000.0"
"313","µg","FLD","Fluoride, F","1","6240.0"
"315","mg","MN","Manganese, Mn","3","6100.0"
"317","µg","SE","Selenium, Se","1","6200.0"
"318","IU","VITA_IU","Vitamin A, IU","0","7500.0"
"319","µg","RETOL","Retinol","0","7430.0"
"320","µg","VITA_RAE","Vitamin A, RAE","0","7420.0"
"321","µg","CARTB","Carotene, beta","0","7440.0"
"322","µg","CARTA","Carotene, alpha","0","7450.0"
"323","mg","TOCPHA","Vitamin E (alpha-tocopherol)","2","7900.0"
"324","IU","VITD","Vitamin D","0","8750.0"
"325","µg","ERGCAL","Vitamin D2 (ergocalciferol)","1","8710.0"
"326","µg","CHOCAL","Vitamin D3 (cholecalciferol)","1","8720.0"
"328","µg","VITD","Vitamin D (D2 + D3)","1","8700.0"
"334","µg","CRYPX","Cryptoxanthin, beta","0","7460.0"
"337","µg","LYCPN","Lycopene","0","7530.0"
"338","µg","LUT+ZEA","Lutein + zeaxanthin","0","7560.0"
"341","mg","TOCPHB","Tocopherol, beta","2","8000.0"
"342","mg","TOCPHG","Tocopherol, gamma","2","8100.0"
"343","mg","TOCPHD","Tocopherol, delta","2","8200.0"
"344","mg","TOCTRA","Tocotrienol, alpha","2","8300.0"
"345","mg","TOCTRB","Tocotrienol, beta","2","8400.0"
"346","mg","TOCTRG","Tocotrienol, gamma","2","8500.0"
"347","mg","TOCTRD","Tocotrienol, delta","2","8600.0"
"401","mg","VITC","Vitamin C, total ascorbic acid","1","6300.0"
"404","mg","THIA","Thiamin","3","6400.0"
"405","mg","RIBF","Riboflavin","3","6500.0"
"406","mg","NIA","Niacin","3","6600.0"
"410","mg","PANTAC","Pantothenic acid","3","6700.0"
"415","mg","VITB6A","Vitamin B-6","3","6800.0"
"417","µg","FOL","Folate, total","0","6900.0"
"418","µg","VITB12","Vitamin B-12","2","7300.0"
"421","mg","CHOLN","Choline, total","1","7220.0"
"428","µg","MK4","Menaquinone-4","1","8950.0"
"429","µg","VITK1D","Dihydrophylloquinone","1","8900.0"
"430","µg","VITK1","Vitamin K (phylloquinone)","1","8800.0"
"431","µg","FOLAC","Folic acid","0","7000.0"
"432","µg","FOLFD","Folate, food","0","7100.0"
"435","µg","FOLDFE","Folate, DFE","0","7200.0"
"454","mg","BETN","Betaine","1","7270.0"
"501","g","TRP_G","Tryptophan","3","16300.0"
"502","g","THR_G","Threonine","3","16400.0"
"503","g","ILE_G","Isoleucine","3","16500.0"
"504","g","LEU_G","Leucine","3","16600.0"
"505","g","LYS_G","Lysine","3","16700.0"
"506","g","MET_G","Methionine","3","16800.0"
"507","g","CYS_G","Cystine","3","16900.0"
"508","g","PHE_G","Phenylalanine","3","17000.0"
"509","g","TYR_G","Tyrosine","3","17100.0"
"510","g","VAL_G","Valine","3","17200.0"
"511","g","ARG_G","Arginine","3","17300.0"
"512","g","HISTN_G","Histidine","3","17400.0"
"513","g","ALA_G","Alanine","3","17500.0"
"514","g","ASP_G","Aspartic acid","3","17600.0"
"515","g","GLU_G","Glutamic acid","3","17700.0"
"516","g","GLY_G","Glycine","3","17800.0"
"517","g","PRO_G","Proline","3","17900.0"
"518","g","SER_G","Serine","3","18000.0"
"521","g","HYP","Hydroxyproline","3","18100.0"
"573","mg",,"Vitamin E, added","2","7920.0"
"578","µg",,"Vitamin B-12, added","2","7340.0"
"601","mg","CHOLE","Cholesterol","0","15700.0"
"605","g","FATRN","Fatty acids, total trans","3","15400.0"
"606","g","FASAT","Fatty acids, total saturated","3","9700.0"
"607","g","F4D0","4:0","3","9800.0"
"608","g","F6D0","6:0","3","9900.0"
"609","g","F8D0","8:0","3","10000.0"
"610","g","F10D0","10:0","3","10100.0"
"611","g","F12D0","12:0","3","10300.0"
"612","g","F14D0","14:0","3","10500.0"
"613","g","F16D0","16:0","3","10700.0"
"614","g","F18D0","18:0","3","10900.0"
"615","g","F20D0","20:0","3","11100.0"
"617","g","F18D1","18:1 undifferentiated","3","12100.0"
"618","g","F18D2","18:2 undifferentiated","3","13100.0"
"619","g","F18D3","18:3 undifferentiated","3","13900.0"
"620","g","F20D4","20:4 undifferentiated","3","14700.0"
"621","g","F22D6","22:6 n-3 (DHA)","3","15300.0"
"624","g","F22D0","22:0","3","11200.0"
"625","g","F14D1","14:1","3","11500.0"
"626","g","F16D1","16:1 undifferentiated","3","11700.0"
"627","g","F18D4","18:4","3","14250.0"
"628","g","F20D1","20:1","3","12400.0"
"629","g","F20D5","20:5 n-3 (EPA)","3","15000.0"
"630","g","F22D1","22:1 undifferentiated","3","12500.0"
"631","g","F22D5","22:5 n-3 (DPA)","3","15200.0"
"636","mg","PHYSTR","Phytosterols","0","15800.0"
"638","mg","STID7","Stigmasterol","0","15900.0"
"639","mg","CAMD5","Campesterol","0","16000.0"
"641","mg","SITSTR","Beta-sitosterol","0","16200.0"
"645","g","FAMS","Fatty acids, total monounsaturated","3","11400.0"
"646","g","FAPU","Fatty acids, total polyunsaturated","3","12900.0"
"652","g","F15D0","15:0","3","10600.0"
"653","g","F17D0","17:0","3","10800.0"
"654","g","F24D0","24:0","3","11300.0"
"662","g","F16D1T","16:1 t","3","11900.0"
"663","g","F18D1T","18:1 t","3","12300.0"
"664","g","F22D1T","22:1 t","3","12700.0"
"665","g",,"18:2 t not further defined","3","13800.0"
"666","g",,"18:2 i","3","13700.0"
"669","g","F18D2TT","18:2 t,t","3","13600.0"
"670","g","F18D2CLA","18:2 CLAs","3","13300.0"
"671","g","F24D1C","24:1 c","3","12800.0"
"672","g","F20D2CN6","20:2 n-6 c,c","3","14300.0"
"673","g","F16D1C","16:1 c","3","11800.0"
"674","g","F18D1C","18:1 c","3","12200.0"
"675","g","F18D2CN6","18:2 n-6 c,c","3","13200.0"
"676","g","F22D1C","22:1 c","3","12600.0"
"685","g","F18D3CN6","18:3 n-6 c,c,c","3","14100.0"
"687","g","F17D1","17:1","3","12000.0"
"689","g","F20D3","20:3 undifferentiated","3","14400.0"
"693","g","FATRNM","Fatty acids, total trans-monoenoic","3","15500.0"
"695","g","FATRNP","Fatty acids, total trans-polyenoic","3","15600.0"
"696","g","F13D0","13:0","3","10400.0"
"697","g","F15D1","15:1","3","11600.0"
"851","g","F18D3CN3","18:3 n-3 c,c,c (ALA)","3","14000.0"
"852","g","F20D3N3","20:3 n-3","3","14500.0"
"853","g","F20D3N6","20:3 n-6","3","14600.0"
"855","g","F20D4N6","20:4 n-6","3","14900.0"
"856","g",,"18:3i","3","14200.0"
"857","g","F21D5","21:5","3","15100.0"
"858","g","F22D4","22:4","3","15160.0"
"859","g","F18D1TN7","18:1-11t (18:1t n-7)","3","12310.0"
